City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
333,southport,53.6478,-3.0065,283.62,91,100,4.16,GB,1712094813
334,gamba,-2.65,10.0,299.97,91,68,1.99,GA,1712094814
335,mhamid,29.82,-5.72,298.05,16,7,3.23,MA,1712094814
336,nouadhibou,20.931,-17.0347,294.14,60,0,7.72,MR,1712094815
337,malmberget,67.1753,20.6549,258.46,61,8,3.6,SE,1712094815
338,laguna,38.421,-121.4238,298.28,41,0,5.14,US,1712094243
339,safaga,26.7292,33.9365,298.24,51,1,1.25,EG,1712094815
340,kabalo,-6.05,26.9167,294.13,96,80,0.92,CD,1712094815
341,papao,-17.75,-149.55,302.97,75,32,8.79,PF,1712094816
342,isafjordur,66.0755,-23.124,267.69,74,12,2.64,IS,1712094816
343,shalkar,47.8288,59.6258,281.75,72,67,2.04,KZ,1712094816
344,charlottetown,46.2352,-63.1267,274.69,98,100,5.14,CA,1712094795
345,bel ombre,-4.6167,55.4167,300.06,83,20,1.03,SC,1712094817
346,kapa'a,22.0752,-159.319,301.14,69,75,9.26,US,1712094663
347,hadleigh,51.5527,0.6098,283.39,89,100,8.49,GB,1712094817
348,lubang,13.8584,120.124,300.08,81,20,8.72,PH,1712094817
349,kasongo-lunda,-6.4667,16.8167,294.85,93,100,0.47,CD,1712094817
350,essaouira,31.5125,-9.77,289.87,77,40,2.06,MA,1712094818
351,mawu,29.5923,107.3139,288.79,97,89,0.92,CN,1712094818
352,ballina,-28.8667,153.5667,296.92,76,9,1.84,AU,1712094818
353,andergrove,-21.0833,149.1833,299.06,78,20,3.91,AU,1712094693
354,kilju,40.9642,129.3278,279.82,61,100,1.2,KP,1712094818
355,ada,43.4166,-116.1262,293.64,35,0,3.6,US,1712094819
356,junin de los andes,-39.9504,-71.0694,283.01,78,85,7.77,AR,1712094819
357,kegeyli shahar,42.7767,59.6078,280.2,61,0,3.16,UZ,1712094819
358,cuilapan de guerrero,17.0,-96.7667,306.92,13,40,3.09,MX,1712094819
359,thunder bay,48.4001,-89.3168,278.14,48,100,4.12,CA,1712094719
360,puerto rosario,-24.45,-57.0833,305.36,44,83,1.34,PY,1712094820
